"Species"	"Treatment"	"Parameter"	"Level"	"Value"	"Pvalue"	"se"
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"Default"	0.674369883186819	0.264	0.0174255088330033
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"q1"	0.608143839238498	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"q3"	0.736314402810304	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"Default"	0.739338834306975	0.009	0.0189522018759508
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"q1"	0.681427125506073	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"q3"	0.765389876880985	NA	NA
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"Default"	0.689338593883058	0.264	0.0109354910846256
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"q1"	0.651434426229508	NA	NA
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"q3"	0.737533692722372	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"Default"	0.536716014505183	0.299	0.00526610673908381
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"q1"	0.5	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"q3"	0.563741422896353	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"Default"	0.467897535010638	0.001	0.0197062066861083
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"q1"	0.372549019607843	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"q3"	0.552631578947368	NA	NA
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"Default"	0.532413621331125	0.299	0.00581803403921461
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"q1"	0.5	NA	NA
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"q3"	0.573770491803279	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"Default"	0.227539887431725	0.151	0.0140557180103241
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"q1"	0.185984354628422	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"q3"	0.305397727272727	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"Default"	0.19943638296351	0.056	0.0229059356078129
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"q1"	0.136363636363636	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"q3"	0.288461538461538	NA	NA
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet1"	"Default"	0.25021489346317	0.151	0.0156007132302456
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet1"	"q1"	0.176912568306011	NA	NA
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet1"	"q3"	0.356501391348343	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet2"	"Default"	0.940215372841788	0.272	0.0432349640059454
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet2"	"q1"	0.833333333333333	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet2"	"q3"	1.04	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet2"	"Default"	0.531815961585993	0.007	0.110916846586918
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet2"	"q1"	0.197368421052632	NA	NA
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet2"	"q3"	0.789473684210526	NA	NA
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet2"	"Default"	0.997521238367122	0.272	0.0737463327786973
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet2"	"q1"	0.888544891640867	NA	NA
"Fababean"	"monocrop_faba"	"coeff_petiole_leaflet2"	"q3"	1.11346153846154	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"ins_angle"	"Default"	36.5909090909091	0.299	2.44804754186876
"Fababean"	"intercrop_faba_aviso_RRF"	"ins_angle"	"q1"	25	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"ins_angle"	"q3"	45	NA	NA
"Fababean"	"intercrop_faba_vigo"	"ins_angle"	"Default"	52.5	0.002	7.66485485837795
"Fababean"	"intercrop_faba_vigo"	"ins_angle"	"q1"	33.75	NA	NA
"Fababean"	"intercrop_faba_vigo"	"ins_angle"	"q3"	70	NA	NA
"Fababean"	"monocrop_faba"	"ins_angle"	"Default"	35.3378378378378	0.299	1.27390536774839
"Fababean"	"monocrop_faba"	"ins_angle"	"q1"	30	NA	NA
"Fababean"	"monocrop_faba"	"ins_angle"	"q3"	43.75	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"rmax"	"Default"	0.631174811075094	0.407	0.0354895087554532
"Fababean"	"intercrop_faba_aviso_RRF"	"rmax"	"q1"	0.565606867122757	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"rmax"	"q3"	0.716862590850988	NA	NA
"Fababean"	"intercrop_faba_vigo"	"rmax"	"Default"	0.703267425073356	0.203	0.0453306083696814
"Fababean"	"intercrop_faba_vigo"	"rmax"	"q1"	0.635581723665896	NA	NA
"Fababean"	"intercrop_faba_vigo"	"rmax"	"q3"	0.76939753661012	NA	NA
