"Species"	"Treatment"	"Parameter"	"Level"	"Value"	"Pvalue"	"se"
"Rapeseed"	"monocrop_aviso"	"coeff_width_leaf"	"Default"	0.432373902691464	0.496	0.0103499148160678
"Rapeseed"	"monocrop_aviso"	"coeff_width_leaf"	"q1"	0.391737443640558	NA	NA
"Rapeseed"	"monocrop_aviso"	"coeff_width_leaf"	"q3"	0.478349944629014	NA	NA
"Rapeseed"	"monocrop_vigo"	"coeff_width_leaf"	"Default"	0.393038642261872	0.177	0.0140339454919972
"Rapeseed"	"monocrop_vigo"	"coeff_width_leaf"	"q1"	0.337819111834457	NA	NA
"Rapeseed"	"monocrop_vigo"	"coeff_width_leaf"	"q3"	0.439072164948454	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_width_leaf"	"Default"	0.432955729851061	0.496	0.00714358137116162
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_width_leaf"	"q1"	0.389242492155984	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_width_leaf"	"q3"	0.471030222073802	NA	NA
"Rapeseed"	"intercrop_vigo"	"coeff_width_leaf"	"Default"	0.377603085947721	0.177	0.00995378280138677
"Rapeseed"	"intercrop_vigo"	"coeff_width_leaf"	"q1"	0.318547657804305	NA	NA
"Rapeseed"	"intercrop_vigo"	"coeff_width_leaf"	"q3"	0.429010538641686	NA	NA
"Rapeseed"	"monocrop_aviso"	"coeff_petiole_leaf"	"Default"	0.395093952763011	0.028	0.011304903933943
"Rapeseed"	"monocrop_aviso"	"coeff_petiole_leaf"	"q1"	0.344476055002371	NA	NA
"Rapeseed"	"monocrop_aviso"	"coeff_petiole_leaf"	"q3"	0.442434379825013	NA	NA
"Rapeseed"	"monocrop_vigo"	"coeff_petiole_leaf"	"Default"	0.397661436124243	0.001	0.015949597630601
"Rapeseed"	"monocrop_vigo"	"coeff_petiole_leaf"	"q1"	0.372746253991648	NA	NA
"Rapeseed"	"monocrop_vigo"	"coeff_petiole_leaf"	"q3"	0.43857238810527	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_petiole_leaf"	"Default"	0.36244952462683	0.028	0.0105727968130699
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_petiole_leaf"	"q1"	0.284115138592751	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"coeff_petiole_leaf"	"q3"	0.430994300342945	NA	NA
"Rapeseed"	"intercrop_vigo"	"coeff_petiole_leaf"	"Default"	0.249667529747796	0.001	0.0229247313674016
"Rapeseed"	"intercrop_vigo"	"coeff_petiole_leaf"	"q1"	0.14691706469822	NA	NA
"Rapeseed"	"intercrop_vigo"	"coeff_petiole_leaf"	"q3"	0.323293172690763	NA	NA
"Rapeseed"	"monocrop_aviso"	"ins_angle"	"Default"	37.1518987341772	0.338	2.69438020984803
"Rapeseed"	"monocrop_aviso"	"ins_angle"	"q1"	20	NA	NA
"Rapeseed"	"monocrop_aviso"	"ins_angle"	"q3"	47.5	NA	NA
"Rapeseed"	"monocrop_vigo"	"ins_angle"	"Default"	41.4222222222222	0.161	4.07969706848374
"Rapeseed"	"monocrop_vigo"	"ins_angle"	"q1"	20	NA	NA
"Rapeseed"	"monocrop_vigo"	"ins_angle"	"q3"	60	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"ins_angle"	"Default"	38.3944444444444	0.338	2.53965422809483
"Rapeseed"	"intercrop_aviso_RRF"	"ins_angle"	"q1"	20	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"ins_angle"	"q3"	45	NA	NA
"Rapeseed"	"intercrop_vigo"	"ins_angle"	"Default"	35.8510638297872	0.161	4.10128234311091
"Rapeseed"	"intercrop_vigo"	"ins_angle"	"q1"	12.5	NA	NA
"Rapeseed"	"intercrop_vigo"	"ins_angle"	"q3"	50	NA	NA
"Rapeseed"	"monocrop_aviso"	"rmax"	"Default"	0.624657902692764	0.364	0.0270660661042962
"Rapeseed"	"monocrop_aviso"	"rmax"	"q1"	0.573486047966061	NA	NA
"Rapeseed"	"monocrop_aviso"	"rmax"	"q3"	0.648065096115762	NA	NA
"Rapeseed"	"monocrop_vigo"	"rmax"	"Default"	0.60905259691865	0.16	0.0421565426394493
"Rapeseed"	"monocrop_vigo"	"rmax"	"q1"	0.549124220262684	NA	NA
"Rapeseed"	"monocrop_vigo"	"rmax"	"q3"	0.667733659045733	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"rmax"	"Default"	0.624251194032368	0.364	0.0159197417588192
"Rapeseed"	"intercrop_aviso_RRF"	"rmax"	"q1"	0.57471342414942	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"rmax"	"q3"	0.655703268653379	NA	NA
"Rapeseed"	"intercrop_vigo"	"rmax"	"Default"	0.609686904351311	0.16	0.0443252688765832
"Rapeseed"	"intercrop_vigo"	"rmax"	"q1"	0.519870144010147	NA	NA
"Rapeseed"	"intercrop_vigo"	"rmax"	"q3"	0.70569995511487	NA	NA
"Rapeseed"	"monocrop_aviso"	"k"	"Default"	6.49561736248202	0.348	1.27738303368718
"Rapeseed"	"monocrop_aviso"	"k"	"q1"	3.62740714828621	NA	NA
"Rapeseed"	"monocrop_aviso"	"k"	"q3"	8.52980046109038	NA	NA
"Rapeseed"	"monocrop_vigo"	"k"	"Default"	5.60088036045245	0.185	1.85370192257577
"Rapeseed"	"monocrop_vigo"	"k"	"q1"	2.72717725196216	NA	NA
"Rapeseed"	"monocrop_vigo"	"k"	"q3"	8.24314708062631	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"Default"	7.39074533273133	0.348	1.07538655698481
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"q1"	3.28391734453831	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"q3"	10.5782617431435	NA	NA
"Rapeseed"	"intercrop_vigo"	"k"	"Default"	9.96232011705795	0.185	3.44113944954792
"Rapeseed"	"intercrop_vigo"	"k"	"q1"	4.0252427278207	NA	NA
"Rapeseed"	"intercrop_vigo"	"k"	"q3"	10.8676893812091	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"Default"	0.000161864508188314	0.492	1.53190894090418e-05
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"q1"	0.000157590857807105	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"q3"	0.000175219665629594	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"Default"	0.000244821234561268	0.492	3.25429849948347e-05
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"q1"	0.000194896264259747	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"q3"	0.000270308386611508	NA	NA
"Rapeseed"	"intercrop_vigo"	"growth_node"	"Default"	0.000587277149483336	0.012	5.85648601149137e-05
"Rapeseed"	"intercrop_vigo"	"growth_node"	"q1"	0.000496544753666792	NA	NA
"Rapeseed"	"intercrop_vigo"	"growth_node"	"q3"	0.000705152312899586	NA	NA
"Rapeseed"	"monocrop_aviso"	"growth_node"	"Default"	0.0002148609224309	0.492	1.70438949876874e-05
